"","subjectid","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"237","Dx241","4",1,0,2,1,8,8,1,1,2,2.33333,88,8.1460202330418,8,54
"238","Dy242","3",1,0,2,1,10,5,0.666667,1.33333,0.666667,1.5,94.8571,13,17,42
"239","Dy243","3",0,0,2,0,10,8,0.5,1,1,2,84.7143,6,5,40
"240","Dy244a","4",1,0,4,0,11,11,0.166667,0,0,1.66667,81.8571,5,4.8694393932243,32.5679620153376
"241","Dy245","4",1,0,1,3,6,11,1,0.333333,2.33333,2.66667,67.1429,8,6,52
"242","Dy246","5",1,0,3,0,9,5,0.833333,1,2.33333,2.33333,91.2857,10,7,39
"243","Dy247","3",1,0,4,0,5,4,0,0,3.66667,4,98.1429,10,7,42
"244","Dy248","4",1,0,2,1,5,7,0.833333,0,1,1.83333,64.5714,12,10.0182111694163,37.7018793739192
"245","Dy250","5",0,0,3,0,10,6,0.5,0.666667,3,3,99.8571,7,7,52
"246","Dy251","3",1,0,2,0,9.26837008444505,4,0,0.0252590268028146,1.42031390956551,1.5,100,9.11963085397176,6.91717507690278,36.3450191099419
"247","Dy252","4",1,0,3,3,20,15,3.83333,4,2.33333,2.83333,89.4286,12,14,37
"248","Dy253","3",1,0,2,1,7,6,0.833333,0,2,2.33333,92.7143,5,5,48
"249","Dy254","5",1,0,3,0,11,5,0,0,3,2.66667,97.4286,7,6,49
"250","Dy255","5",1,0,3,1,6,1,1,1.66667,2.33333,2.33333,52,9,10,42
"251","Dy256","1",0,0,2,2,11,6,0.833333,0,1.66667,1.83333,83,8,6,46
"252","Dy258","1",0,0,4,2,13,10,1.66667,0.666667,3.33333,2.83333,57.8571,15,7,50
"253","Dy259","3",0,0,4,0,10,4,0.333333,0,3.33333,3.5,99.2857,5,5,50
"254","Dy260","5",1,0,2,1,11.1235929212909,10,1.33333,1.09251678673794,2.32804678090019,2.33333,81.75,12.8971125182881,11.4875761987606,45.0713225744121
"255","Dy261","5",0,0,4,0,5,8,1.83333,1.33333,2.66667,1.83333,64.5714,24,23,53
"256","Dy262","3",1,0,1,0,10,4,1.5,0,0.666667,0.5,73.8571,7,8,23
"257","Dz263","4",1,0,4,2,9.53459473276515,6,1.33333,1.19064855329129,3.59198233388235,4,11.5714,8,11.6410953949726,47.5835198904055
"258","Dz264","3",1,0,2,1,13,9,0.166667,1,2.33333,2.5,95,11,19,43
"259","Dz265","1",0,0,3,0,11,6,0.166667,0,3.33333,2,79.8571,12,8,45
"260","Dz266","5",1,0,3,1,15,7,0.666667,0,4,3.16667,98.2857,13,5,55
"261","Dz267","5",1,0,3,0,19,6,1,0.666667,0.333333,1,29.1429,15,7,27
"262","Dz268","5",0,0,0,0,5,0,0,0,1.33333,1,26.1429,24,20,20
"263","Dz270","3",1,0,2,1,8,7,0.333333,0.666667,2.33333,1.33333,100,12,7,44
"264","Dz271","5",1,0,2,2,11.1775982136017,10,0.5,0.547991618136962,2.47492878174111,2.66667,39,17,14.4015373378275,42.2951295386429
"265","Dz272","5",1,0,3,1,7.85058380093799,4,0.333333,0.296839798669169,3.13367390055719,3.33333,75.1429,9,8.3712320063123,48.6524173030002
"266","Dz273","5",0,0,4,0,7.37982626615199,6,0,-0.170480915865888,3.77350347115532,4,100,9.92638765861275,8.3351227921924,54.8936318428332
"267","Dz274","3",1,0,1,0,5,9,0.666667,0.666667,2.66667,3,97.7143,5,5,54
"268","Dz275","3",0,0,4,2,11.3177794427895,3,3,2.40456605572519,3.74878172745439,4,30,10.9676571909284,14.388928690771,49.4498876227984
"269","Dz276","3",0,0,0,0,9.02118280134913,2,0,0.016102083846939,0.665063791801824,0.833333,78.4286,7,7.67353226415167,32.8591924874532
"270","Dz277","5",1,0,2,0,8,6,0.5,0,1,1,30.2857,10,8,29
"271","Dz278","3",0,0,2,2,16,7,0.5,0,2.33333,2,73.1429,13,11,43
"272","Dz279","5",1,0,2,1,15,7,1.83333,1,2.33333,1.66667,65.7143,17,20,46
"273","Dz280a","3",0,0,3,1,8,5,1,0.333333,2.33333,2.33333,96,8,8,43
"274","Dz281","1",0,0,3,0,7,7,0.666667,0,3,3.83333,75.7143,6,5,55
"275","Dz282","2",1,0,2,1,9,7,1.66667,2.33333,1,1.5,56.2857,14,9,41
"276","Dz283","3",1,0,2,1,12,13,2.66667,0.666667,2.33333,1.83333,69.7143,13,15,45
"277","Dz284","5",0,0,2,2,15,9,2.16667,1,1,1,65.1429,17,10,41
"278","Dz285","3",0,0,4,0,5,1,0,0,4,4,92.1429,6,5,58
"279","Dz286","1",1,0,2,4,13.8388844026153,14,2,1.56821056305935,2.72332454418797,2.75,64.3333,12.4390876142161,12.2993434169558,41.7473131842682
"280","Dz287","4",1,0,3,2,13,2,2.33333,2.66667,1,1.16667,54.1429,10,9,40
