"","Condition","Sex","chicago","TMA_1","TMA_2","TMA_3","TMA_4","TMA_5","TMA_6","TMA_avg","SI_1","SI_2","SI_3","SI_4","SI_5","SI_6","SI_7","SI_8","SI_9","SI_10","SI_11","SI_12","SI_13","SI_14","MW1_1","MW1_2","MW1_3","MW1_4","MW1_5","MW1_6","MW1_7","MW2_1","MW2_2","MW2_3","MW2_4","MW2_5","Del_OverallAcc","Understand_avg","TMA"
"213","1",1,0,4,1,3,2,3,1,2.33333333333333,4,4,3,3,4,3,3,3,3,5,4,4,5,4,2,3,2,2,2,5,5,4,3,4,4,4,0.733333333333333,95,0
"214","1",0,0,3,1,2,1,4,3,2.33333333333333,4,3,4,4,3,3,3,4,5,3,5,4,3,5,4,5,1,1,1,5,6,2,3,1,1,1,0.933333333333333,79.8571428571429,0
"215","0",1,0,2,3,4,1,5,1,2.66666666666667,5,4,5,4,4,5,4,4,5,5,5,5,4,5,2,2,2,1,6,6,6,1,1,1,1,1,0.6,98.2857142857143,0
"216","0",1,0,4,2,4,4,5,5,4,3,2,3,1,5,1,1,1,1,1,3,5,1,2,3,5,3,2,2,4,6,2,2,1,1,1,0.3,29.1428571428571,1
"217","0",0,0,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,3,1,3,2,1,1,3,6,5,6,4,1,1,1,1,6,6,6,1,26.1428571428571,0
"218","0",1,0,2,1,2,1,2,2,1.66666666666667,3,3,4,3,4,4,4,4,4,4,4,3,3,4,2,3,1,3,3,6,6,2,1,2,1,1,0.833333333333333,100,0
"219","0",1,0,1,1,1,1,1,4,1.5,4,4,4,4,4,5,5,5,5,5,5,4,5,4,1,1,1,1,1,6,6,1,1,1,1,1,0.866666666666667,97.7142857142857,0
"220","0",1,0,1,1,3,2,1,2,1.66666666666667,2,1,3,3,1,1,1,2,3,3,5,4,3,4,2,3,2,1,2,4,6,1,3,2,1,1,0.6,30.2857142857143,0
"221","1",0,0,3,2,4,3,4,5,3.5,3,3,4,3,3,4,4,5,4,3,3,4,3,5,3,3,2,1,4,5,6,2,1,1,3,4,0.7,73.1428571428571,0
"222","0",1,0,3,2,4,1,5,3,3,3,5,2,4,3,3,3,5,4,5,5,4,3,4,6,3,1,2,5,4,6,2,4,6,3,5,0.3,65.7142857142857,0
"223","1",0,0,2,1,2,1,2,1,1.5,3,3,4,3,4,3,3,4,4,4,4,4,3,4,1,2,1,2,2,4,5,1,2,1,2,2,0.8,96,0
"224","1",0,0,1,1,1,1,3,2,1.5,5,3,4,3,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,6,6,1,1,1,1,1,0.666666666666667,75.7142857142857,0
"225","0",1,0,2,1,2,1,3,2,1.83333333333333,3,4,3,2,3,3,4,3,4,5,3,4,3,5,3,4,2,3,2,5,4,2,2,1,2,2,0.566666666666667,56.2857142857143,0
"226","0",1,0,1,3,2,1,5,5,2.83333333333333,4,4,3,3,4,4,4,5,4,3,4,3,4,3,2,3,3,3,2,5,5,4,5,2,2,2,0.933333333333333,69.7142857142857,0
"227","0",0,0,4,2,2,3,4,5,3.33333333333333,4,4,3,3,2,4,3,4,4,3,3,4,3,4,6,3,2,3,3,4,4,2,1,2,2,3,0.666666666666667,65.1428571428571,0
"228","1",0,0,1,1,1,1,1,2,1.16666666666667,5,4,5,5,5,5,5,5,5,5,5,4,5,2,1,1,1,1,2,5,6,1,1,1,1,1,1,92.1428571428571,0
"229","1",1,0,3,2,3,1,4,1,2.33333333333333,4,4,2,2,4,4,3,3,3,4,4,3,3,4,3,3,1,1,2,4,4,3,2,1,1,2,0.733333333333333,54.1428571428571,0
