"subjectid","cond","race","tma","si","mw1","mw2","under_avg","worry0","enjoy0","worry1","enjoy1","worry2","enjoy2","HOT","X","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"Aq001","0",NA,11,NA,3,NA,78.5714285714286,2,0,1.83333333333333,1.33333333333333,2,2,0.375,1,1,0,1,0,2,11,8,1.83333,2,2,1.33333,78.5714,15,13.4184524045707,39.9266720434623
"Aq002a","1",4,10,54,2.2,1.6,81.4285714285714,1,3,0.166666666666667,3.5,0,4,0.5,2,4,0,1,3,1,10,4,0.166667,0,4,3.5,81.4286,11,8,54
"Aq003","1",4,9,36,2,1.8,83.8571428571429,3,4,2.66666666666667,3.16666666666667,0.666666666666667,1.33333333333333,0.875,3,4,0,1,4,3,9,10,2.66667,0.666667,1.33333,3.16667,83.8571,10,9,36
"Aq004","1",4,8,39,3,1.6,84.2857142857143,1,3,0.333333333333333,1.5,1,1.33333333333333,0,4,4,0,1,3,1,8,6,0.333333,1,1.33333,1.5,84.2857,15,8,39
"Aq005a","1",4,8,54,2,2,66,1,4,1.16666666666667,3.33333333333333,0,3.66666666666667,0.75,5,4,1,1,4,1,8,5,1.16667,0,3.66667,3.33333,66,10,10,54
"Aq006","0",NA,NA,NA,1.4,NA,27.4285714285714,1,4,0.333333333333333,3.16666666666667,NA,NA,0.5,6,4,1,1,4,1,8.17909594266752,5,0.333333,0.372820514163886,2.77830835004695,3.16667,27.4286,7,8.70851717334825,47.0365016380265
"Aq007","0",4,9,57,1.8,1.2,46.4285714285714,0,3,0.833333333333333,3.16666666666667,0.666666666666667,3.66666666666667,0.125,7,4,1,1,3,0,9,2,0.833333,0.666667,3.66667,3.16667,46.4286,9,6,57
"Aq008","1",1,9,55,1.2,1.2,88.4285714285714,0,4,0,4,0,4,0.25,8,1,1,1,4,0,9,2,0,0,4,4,88.4286,6,6,55
"Aq009","1",5,7,55,2.6,1.6,23.3333333333333,0,4,0,2.66666666666667,0,3,0.4375,9,5,0,1,4,0,7,8,0,0,3,2.66667,23.3333,13,8,55
"Aq010","0",NA,6,NA,2.6,NA,17.1666666666667,0,4,2.16666666666667,3.83333333333333,2.33333333333333,3.33333333333333,0.5,10,5,0,1,4,0,6,1,2.16667,2.33333,3.33333,3.83333,17.1667,13,14.8683298755441,53.0876666928877
"Aq011","0",5,7,44,1,1.4,96.8571428571429,0,4,0.166666666666667,3.16666666666667,0,1.66666666666667,0.375,11,5,0,1,4,0,7,3,0.166667,0,1.66667,3.16667,96.8571,5,7,44
"Aq012","1",NA,14,NA,1.6,NA,72.2857142857143,0,0,0.166666666666667,1.66666666666667,0,0,0.125,12,4,0,1,0,0,14,7,0.166667,0,0,1.66667,72.2857,8,10.2862620867144,38.9245558203115
"Aq014","0",1,5,51,1,1.2,97.1428571428571,1,3,0.5,3.83333333333333,0,3,0.75,13,1,1,1,3,1,5,6,0.5,0,3,3.83333,97.1429,5,6,51
"Aq015","1",5,11,58,1.2,1.2,97.7142857142857,0,2,0,3.66666666666667,0.333333333333333,3,0.5,14,5,0,1,2,0,11,7,0,0.333333,3,3.66667,97.7143,6,6,58
"Aq016","0",4,8,51,1.6,1,72.8571428571429,0,3,0.666666666666667,3.16666666666667,0.666666666666667,2.66666666666667,0.625,15,4,1,1,3,0,8,0,0.666667,0.666667,2.66667,3.16667,72.8571,8,5,51
"Aq017","1",5,7,52,2,1,67.1428571428571,1,2,2.33333333333333,2.83333333333333,3,2.66666666666667,0.375,16,5,1,1,2,1,7,1,2.33333,3,2.66667,2.83333,67.1429,10,5,52
"Aq018","0",NA,5,60,1.2,2,93,0,4,0,4,0,4,0.625,17,5,0,1,4,0,5,2,0,0,4,4,93,6,10,60
"Aq019","0",NA,NA,NA,2.8,NA,20.8333333333333,0,2,0.833333333333333,1.16666666666667,NA,NA,0.625,18,4,1,1,2,0,11.0567114818606,8,0.833333,0.872625680294642,0.92072992228354,1.16667,20.8333,14,13.2269111384077,35.3337763691965
"Aq020","0",5,9,52,2.2,2.6,78.1428571428571,2,2,1.16666666666667,2.16666666666667,1.33333333333333,2.33333333333333,0.75,19,5,1,1,2,2,9,9,1.16667,1.33333,2.33333,2.16667,78.1429,11,13,52
"Aq021","0",5,7,45,2.2,2,99.8571428571429,2,2,2.16666666666667,1.83333333333333,2,2,0.125,20,5,0,1,2,2,7,8,2.16667,2,2,1.83333,99.8571,11,10,45
"Aq022","1",5,5,55,4.8,2.6,72.5714285714286,2,4,2.83333333333333,1.66666666666667,0,0,0.375,21,5,0,1,4,2,5,6,2.83333,0,0,1.66667,72.5714,24,13,55
"Aq023","0",5,8,52,2.8,3,87.8571428571429,0,4,0.666666666666667,3.16666666666667,0.666666666666667,3.66666666666667,0.125,22,5,1,1,4,0,8,6,0.666667,0.666667,3.66667,3.16667,87.8571,14,15,52
"Aq024","1",5,8,60,4.6,2.4,92.8571428571429,0,4,0,2.66666666666667,0,2.33333333333333,0,23,5,1,1,4,0,8,7,0,0,2.33333,2.66667,92.8571,23,12,60
"Aq025","1",5,6,54,1.2,1.2,100,1,4,1,3.66666666666667,0.666666666666667,3.33333333333333,0.375,24,5,0,1,4,1,6,4,1,0.666667,3.33333,3.66667,100,6,6,54
"Aq026","0",5,6,50,1.2,1,85.1428571428571,0,4,0.166666666666667,3.16666666666667,0,4,0.5,25,5,1,1,4,0,6,2,0.166667,0,4,3.16667,85.1429,6,5,50
"Aq027","1",1,16,29,2.2,1.6,27.8571428571429,2,1,3.16666666666667,0.166666666666667,3.66666666666667,0,0.625,26,1,1,1,1,2,16,7,3.16667,3.66667,0,0.166667,27.8571,11,8,29
"Aq028","0",5,7,48,3.4,1.8,58.5714285714286,0,4,0.666666666666667,2.16666666666667,0,0,0.5,27,5,0,1,4,0,7,3,0.666667,0,0,2.16667,58.5714,17,9,48
"Aq029","0",1,15,38,3.6,3.8,73.5714285714286,2,2,2.33333333333333,2,2.33333333333333,2.33333333333333,0.25,28,1,0,1,2,2,15,10,2.33333,2.33333,2.33333,2,73.5714,18,19,38
"Aq030","0",1,6,45,NA,2.8,47.75,0,4,0.333333333333333,3.66666666666667,1.33333333333333,2,0,29,1,1,1,4,0,6,2,0.333333,1.33333,2,3.66667,47.75,11.3725612394315,14,45
"Aq031","1",4,9,50,1.6,2,72.5714285714286,0,3,1.5,1.33333333333333,0.666666666666667,2.33333333333333,0.5,30,4,1,1,3,0,9,4,1.5,0.666667,2.33333,1.33333,72.5714,8,10,50
"Ar032","0",NA,NA,NA,3.2,NA,69,2,2,1,3,NA,NA,0.375,31,5,0,1,2,2,10.9544569830195,7,1,0.860523394221262,2.70718549189778,3,69,16,13.7587433238481,50.3612910673599
"Ar033a","1",5,25,60,6,2,96.2857142857143,0,3,0,3,0,3.33333333333333,0.375,32,5,0,1,3,0,25,5,0,0,3.33333,3,96.2857,30,10,60
"Ar034","1",2,9,51,1,1,85.5714285714286,0,3,0.5,2.83333333333333,1,2.66666666666667,0.3125,33,2,1,1,3,0,9,2,0.5,1,2.66667,2.83333,85.5714,5,5,51
"Ar035","0",5,19,40,3.4,4.6,60,1,3,1.16666666666667,2.83333333333333,0.333333333333333,2.33333333333333,0.125,34,5,0,1,3,1,19,4,1.16667,0.333333,2.33333,2.83333,60,17,23,40
"Ar036a","1",NA,6,NA,2.8,NA,82.5714285714286,1,2,0.333333333333333,1.83333333333333,0,3,0.625,35,5,0,1,2,1,6,13,0.333333,0,3,1.83333,82.5714,14,10.5546908940279,51.7752909966333
"Ar037","0",NA,7,44,1.4,1.2,55,1,3,1.83333333333333,3,1,3.66666666666667,0.625,36,5,0,1,3,1,7,3,1.83333,1,3.66667,3,55,7,6,44
"Ar038","0",NA,NA,NA,NA,NA,84.25,0,4,0,4,NA,NA,0,37,5,1,1,4,0,8.05854322680646,7,0,0.106233250523949,3.79663154051769,4,84.25,11.1098792357353,9.41100615187361,58.1496202507482
"Ar039","0",NA,NA,NA,NA,NA,96.75,0,2,0,2.66666666666667,NA,NA,1,38,4,0,1,2,0,8.96075785342419,6,0,-0.0202492635799623,2.4224046837182,2.66667,96.75,9.19173693882455,8.74422939112469,49.3827855878304
"Ar040","1",2,5,60,2.8,1,56.2857142857143,0,4,1.16666666666667,2.33333333333333,0,4,0.428571428571429,39,2,0,1,4,0,5,4,1.16667,0,4,2.33333,56.2857,14,5,60
