"subjectid","cond","race","tma","si","mw1","mw2","under_avg","worry0","enjoy0","worry1","enjoy1","worry2","enjoy2","HOT","X","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"Bu130","0",NA,NA,NA,NA,NA,70,0,1,0,1,NA,NA,0.5,127,5,1,0,1,0,9.39085709210021,6,0,0.0899278396579872,0.964081574846613,1,70,12.8384724192489,9.72092357651851,34.5377746482435
"Bu131","0",NA,NA,NA,NA,NA,27.2857142857143,3,1,2.6,0.6,NA,NA,0.8,128,4,1,0,1,3,13.668044321452,7,2.6,2.1676270283564,0.456508173540667,0.6,27.2857,14.1231834772258,13.8518028004003,26.866547574125
"Bu132","1",NA,10,34,3,3,58.2857142857143,3,2,3,1.33333333333333,2,1.66666666666667,0.125,129,1,0,0,2,3,10,12,3,2,1.66667,1.33333,58.2857,15,15,34
"Bu133","1",NA,NA,NA,1,NA,83.7142857142857,0,4,0,3.66666666666667,NA,NA,0.25,130,1,1,0,4,0,7.0472377806746,5,0,-0.0566160019976142,3.66475589193881,3.66667,83.7143,5,5.33925792902937,48.414065835683
"Bu134","1",NA,NA,NA,3.2,NA,52.2857142857143,0,4,0.666666666666667,3.66666666666667,NA,NA,0.75,131,5,0,0,4,0,8.01373318330205,0,0.666667,0.578688926594144,3.43227040152083,3.66667,52.2857,16,12.9836041513182,47.5938033022872
"Bu135","0",NA,NA,NA,NA,NA,84,2,4,2.8,2.6,NA,NA,0.166666666666667,132,1,1,0,4,2,13.2432440380789,12,2.8,2.09537575560754,2.77119479772145,2.6,84,12.8833485883425,11.1927178576823,42.166480627125
"Bu136","0",5,9,59,1.4,1.6,99.7142857142857,1,1,0.333333333333333,1.5,0,3.33333333333333,0.75,133,5,1,0,1,1,9,7,0.333333,0,3.33333,1.5,99.7143,7,8,59
"Bu137","1",3,9,37,2.2,1.6,80.8571428571429,1,2,0.5,2.16666666666667,0.333333333333333,1.66666666666667,0.75,134,3,1,0,2,1,9,5,0.5,0.333333,1.66667,2.16667,80.8571,11,8,37
"Bu139","1",1,7,47,2.4,2,90,0,2,0.166666666666667,2,0,2,0.5,135,1,1,0,2,0,7,5,0.166667,0,2,2,90,12,10,47
"Bu140","1",3,17,52,1.6,2.8,91.8571428571429,1,4,1.5,3.16666666666667,1.66666666666667,3.33333333333333,0.625,136,3,1,0,4,1,17,10,1.5,1.66667,3.33333,3.16667,91.8571,8,14,52
